site,timeslice,temperature,proxy,lat,lon,mlat,mlon,plat,plon,5,50,95,sd,mean minus reported error,mean plus reported error,deepmip lower error,deepmip upper error,min,max,v1,v2,v3,v4,v5,v6
iodp 1356,eeco,sst,tex86,-63.31,136,-66.49,129.6,-57.97,144.8,26.36,33.37,40.2,1.25,-999.9,-999.9,26.36,40.2,21.55,42.92,1,1,0,1,1,0
iodp 302,lp,lat,mbtcbt,87.87,136.18,82.81,66.91,75.91,27.79,14.81,15.36,15.8,0.38,15,15.72,15,15.72,14.67,15.88,1,1,1,0,1,1
iodp 302,petm,lat,mbtcbt,87.5,136.1,82.74,69.64,76.11,28.98,18.71,19.93,20.92,0.8,19.16,20.7,19.16,20.7,18.03,20.98,1,1,1,0,1,1
iodp 302,petm,sst,tex86,87.87,136.18,82.81,66.91,75.91,27.79,17.26,23.77,31.69,1.11,-999.9,-999.9,17.26,31.69,15.28,33.38,1,1,0,1,1,1
Iowa Hill ,eeco,lat,mbtcbt,39.11,-120.85,44.89,-108.23,44.81,-93.07,-999.9,19.1,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
Khadsaliya Clays,eeco,lat,gdgtlignite,21.65,72.2,-1.28,61.73,-3.76,67.35,28.16,28.46,28.69,0.3,28.21,28.7,28.21,28.7,28.12,28.71,1,1,1,1,1,1
kutch,eeco,sst,del47,23.53,68.62,1.41,60.96,-1.24,66.14,-999.9,35.1,-999.9,-999.9,32.6,37.7,32.6,37.7,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,cca,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,17.5,-999.9,-999.9,15.4,19.6,15.4,19.6,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,dlp,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,10.9,-999.9,-999.9,6.9,14.9,6.9,14.9,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,dlp,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,16.9,-999.9,-999.9,15.2,18.6,15.2,18.6,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,lma,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,20.7,-999.9,-999.9,14.1,26.5,14.1,26.5,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,lma,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,14.1,-999.9,-999.9,9.3,18.9,9.3,18.9,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,mlr,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,19.6,-999.9,-999.9,17.5,21.7,17.5,21.7,-999.9,-999.9,1,1,1,1,1,1
Laguna del Hunco,eeco,lat,slr,-42.5,-70,-43.09,-56.48,-49.96,-58.96,-999.9,19.3,-999.9,-999.9,17.1,21.5,17.1,21.5,-999.9,-999.9,1,1,1,1,1,1
lodo gulch,eeco,sst,del18O,36.59,-120.64,42.36,-108.2,42.35,-93.88,17.46,19.06,20.24,1.16,-999.9,-999.9,17.46,20.24,17.03,20.39,1,1,1,1,1,1
lodo gulch,petm,sst,del18O,36.59,-120.64,43.24,-107.39,44.11,-91.76,19.42,21.49,23.04,0.79,-999.9,-999.9,19.42,23.04,19.24,23.6,1,1,1,1,1,1
Lowana Road,eeco,lat,all,-42.15,145.3,-68.07,150.86,-58.35,160.58,-999.9,24.3,-999.9,-999.9,21,27.6,21,27.6,-999.9,-999.9,1,1,1,1,1,0
Lowana Road,eeco,lat,ca,-42.15,145.3,-68.07,150.86,-58.35,160.58,-999.9,22.7,-999.9,-999.9,20.9,24.5,20.9,24.5,-999.9,-999.9,1,1,1,1,1,0
Lowana Road,eeco,lat,pls,-42.15,145.3,-68.07,150.86,-58.35,160.58,-999.9,23,-999.9,-999.9,19.7,26.3,19.7,26.3,-999.9,-999.9,1,1,1,1,1,0
McAbee,eeco,lat,lma,51,-121,56.75,-107.09,56.03,-86.85,-999.9,12.8,-999.9,-999.9,9.2,16.4,9.2,16.4,-999.9,-999.9,1,1,1,1,1,1
midwaipara,eeco,lat,ba,-43.07,172.74,-54.9,-160.07,-46.29,-161.06,-999.9,16.4,-999.9,-999.9,9.2,23.6,9.2,23.6,-999.9,-999.9,1,1,1,1,1,0
midwaipara,eeco,lat,ca,-43.07,172.74,-54.9,-160.07,-46.29,-161.06,-999.9,20,-999.9,-999.9,14.6,25.3,14.6,25.3,-999.9,-999.9,1,1,1,1,1,0
midwaipara,eeco,lat,mbtcbt,-43.07,172.74,-54.9,-160.07,-46.29,-161.06,19.3,20.79,21.5,1,19.87,21.71,19.87,21.71,18.91,21.5,1,1,1,0,1,0
midwaipara,eeco,sst,del18O,-43.06,172.61,-54.88,-160.24,-46.26,-161.19,23.51,28.36,33.48,4.18,-999.9,-999.9,23.51,33.48,23.3,34.64,1,1,1,1,1,0
